Sygnatura czasowa,Adres e-mail,1. Nazwa instytucji/organizacji:,2. Adres siedziby Państwa instytucji/organizacji:,3. Adres strony internetowej Państwa instytucji/organizacji: ,"4. Telefony, adresy e-mail do kontaktów z mieszkańcami:","5. Dni tygodnia i godziny, w których mieszkańcy mogą się kontaktować z Państwa instytucją/organizacją:","6. Inne, istotne informacje o dostępności Państwa instytucji/organizacji dla mieszkańców:",7. Główne cele działania Państwa instytucji/organizacji:,8. Główny obszar terytorialny działania Państwa instytucji/organizacji:,"9. Jeżeli Państwa instytucja/organizacja działa tylko w wybranych dzielnicach Miasta Krakowa, to w których?:",10. Forma prawna Państwa instytucji/organizacji:,"11. W jaki sposób w Państwa działalności definiowane jest ubóstwo ekonomiczne, czyli stały brak dochodów wystarczających na zaspokojenie podstawowych potrzeb osób i/lub ich rodzin?","12.  Jeżeli stosujecie Państwo kryterium dochodowe, to jaka kwota miesięcznych dochodów netto stanowi kryterium uzyskania pomocy?",13. Jaką mniej więcej część odbiorców Państwa działań stanowią osoby/rodziny w ubóstwie ekonomicznym?,14. Jakie są dominujące przyczyny niewystarczających dochodów odbiorców Państwa działań?,15. Na co najczęściej brakuje pieniędzy osobom żyjącym w ubóstwie ekonomicznym będącym odbiorcami Państwa działań?,16. Z jakiego rodzaju wsparcia Państwa instytucji/organizacji mogą skorzystać osoby/rodziny żyjące w ubóstwie ekonomicznym?,17. Jakiej części mieszkańców Krakowa dotyka ubóstwo?,"18. Czy są jakieś dzielnice w Krakowie, w których skala ubóstwa jest wyraźnie większa niż w innych dzielnicach?",19. W których dzielnicach i dlaczego poziom ubóstwa jest wyższy niż w innych?,20. Czy poziom ubóstwa wśród mieszkańców Krakowa jest wyraźnie większy w jakiś grupach społecznych?,"21. Czy znają Państwo osoby, które są w trudnej sytuacji ekonomicznej i nie korzystają z żadnej pomocy? ","22. Jeżeli znają Państwo takie osoby, to jaka jest najczęstsza przyczyna niekorzystania przez nie z pomocy?",23. Co pomogłoby osobom/rodzinom żyjącym w ubóstwie poprawić swoją sytuację ekonomiczną i/lub złagodzić jej negatywne skutki?,24. Od kogo przede wszystkim zależy poprawa sytuacji ekonomicznej osób/rodzin żyjących w ubóstwie?,"25. Czy znacie Państwo instytucje i/lub organizacje, które koncentrują się w Krakowie na pomocy ludziom żyjącym w ubóstwie ekonomicznym?"
2022-06-24 13:27:43,wtz@stowarzyszenierozwoju.eu,Stowarzyszenie na Rzecz Rozwoju Psychiatrii i Opieki Środowiskowej,"pl. Sikorskiego 2/8, 31-115 Kraków",www.stowarzyszenie-rozwoju.eu,"biuro@stowarzyszenie-rozwoju.eu, 12 421-17-30","od poniedziałku do piątku, od 9.00 - 16.00",,działalność na rzecz osób niepełnosprawnych,Całe Miasto Kraków,całe miasto Kraków,Organizacja pozarządowa,Nie stosujemy żadnych kryteriów,jak wyżej,Co najmniej połowę,"Choroba, Niepełnosprawność",Żywność,"Praca socjalna, Doradztwo psychologiczne, Doradztwo zawodowe, Zatrudnienie, Pomoc w załatwianiu spraw urzędowych, Opieka zdrowotna","Więcej niż 20%, ale mniej niż połowy",Trudno powiedzieć,jak wyżej,"Wśród osób po 60 roku życia, Wśród osób z niepełnosprawnością, Wśród osób bezdomnych",Tak,Wstydzą się korzystać z pomocy,aktywizacja zawodowa i świadomość z tym związana ,"od wszytskich, pomoc systemowa",fundacja Brata Alberta
2022-06-24 13:36:39,wtztpdtruskawkowa4@gmail.com,WARSZTAT TERAPII ZAJĘCIOWEJ TOWARZYSTWA PRZYJACIÓŁ DZIECI ,UL. TRUSKAWKOWA4 31-985 KRAKÓW,TPD.PL,12 681-04-77,OD PONIEDZIAŁKU DO PIATKU W GODZ. 7.30-15.30,,działalność na rzecz osób niepełnosprawnych,Dzielnica/dzielnice miasta Krakowa,NOWA HUTA,Organizacja pozarządowa,Poprzez subiektywne odczucie odbiorców naszych działań,NIE DOTYCZY,"Więcej niż 20%, ale mniej niż połowę","Choroba, Niezaradność życiowa",Żywność,"Pomoc żywnościowa, Doradztwo psychologiczne, Pomoc w załatwianiu spraw urzędowych","Więcej niż 20%, ale mniej niż połowy",Trudno powiedzieć,NIE DOTYCZY,"Wśród osób z niepełnosprawnością, Wśród rodzin wielodzietnych, Wśród osób bezdomnych",Trudno powiedzieć,Trudno powiedzieć,WIĘKSZY DOCHÓD NA UTRZYMANIE,Samorządów terytorialnych,"BANK ŻYWNOŚCI, ZUPA NA PLANTACH"
2022-06-24 13:48:42,centrum@parkowa12.krakow.pl,"Centrum Placówek Opiekuńczo-Wychowawczych ""Parkowa"" ","30-538 Kraków, ul. Parkowa 12",www.parkowa12.krakow.pl,12/6560994,poniedziałek - piątek w godzinach 8.00 - 14.00,,wspieranie rodziny i systemu pieczy zastępczej,Całe Miasto Kraków,Kraków,Jednostka organizacyjna Miasta Krakowa,Nie stosujemy żadnych kryteriów,nie stosujemy ,"Więcej niż 20%, ale mniej niż połowę","Niezaradność życiowa, Trudno powiedzieć",Trudno powiedzieć,całodobowa opieka specjalistyczna nad dzieckiem ,Mniej niż 10%,Trudno powiedzieć,trudno powiedzieć ,"Wśród osób z wykształceniem podstawowym, Wśród osób bezdomnych",Tak,Nie spełniają innych kryteriów uzyskania pomocy,trudno powiedzieć,Samych osób dotkniętych ubóstwem,tak
2022-06-24 13:53:43,podstrzecha.chlebzycia@gmail.com,Wspólnota Chleb Życia,"Ul. Pod Strzechą 31a, 31-352 Kraków",https://chlebzycia.org/,"podstrzecha.chlebzycia@gmail.com, 502605545, 513790760","od poniedziałku do soboty, od 9 do 17",prowadzimy rozmowę wstępną z kandydatem na mieszkańca przed faktycznym przyjęciem,pomoc społeczna,"województwa małopolskie, świętokrzyskie, podkarpackie i mazowieckie",nie dotyczy,Organizacja pozarządowa,Poprzez subiektywne odczucie odbiorców naszych działań,nie dotyczy,Trudno powiedzieć,"wszystkie powyższe czynniki mogą wystąpić, nie można wybrać dwóch najczęstszych ","żywność, utrzymanie mieszkania, odzież, używki czy leki","Pomoc żywnościowa, Schronienie, Opieka zdrowotna, Usługi opiekuńcze, Wsparcie duchowe","Więcej niż 20%, ale mniej niż połowy",Trudno powiedzieć,nie dotyczy,"Nie, poziom ubóstwa wydaje się podobny w każdej grupie społecznej",Tak,"brak wiedzy, wstyd, bywa, że nie są w stanie korzystać z powodów zdrowotnych","trudno powiedzieć, inne potrzeby mają bezdomni, inne emeryci. ",od współpracy pomiędzy poszczególnymi instytucjami i zauważanie różnych potrzeb różnych grup pogrążonych w ubóstwie.,
2022-06-25 12:57:57,rafal.grabowski@u-work.pl,"Fundacja Współpracy Polsko-Ukraińskiej ""U-WORK""",Batorgo 2/28,u-work.pl,501868805,obecnie 7 dni w tygodniu od 9-19,,"udzielanie nieodpłatnej pomocy prawnej oraz zwiększania świadomości prawnej społeczeństwa;, działalność charytatywna, działalność na rzecz mniejszości narodowych i etnicznych oraz języka regionalnego",Całe Miasto Kraków,nie,Organizacja pozarządowa,"termin przyjazdu do Polski, status zawodowy, liczba osób na utrzymaniu, region pochodzenia",nie dotyczy,Co najmniej połowę,"Macierzyństwo,  nieusamodzielnienie się w Polsce","żywność, środki higieniczne i odzież bo przyjechali do Polski w zimowej odzieży","Pomoc rzeczowa, Pomoc żywnościowa, Schronienie, Doradztwo prawne, Doradztwo zawodowe, Pośrednictwo pracy, Pomoc w załatwianiu spraw urzędowych, Usługi opiekuńcze, Wsparcie duchowe, warsztaty integracyjne, kursy językowe, zakładanie firm, doatcje na założenie firmy",uchodźców,Trudno powiedzieć,nie dotyczy,Wśród uchodźców,Tak,Wstydzą się korzystać z pomocy,"kursy języka polskiego, pośrednictwo pracy, opieka nad dziećmi, asyst w sprawach urzędowych",Samorządów terytorialnych,tak
2022-06-27 09:40:31,sds@stowarzyszenietecza.org,Stowarzyszenie Rodziców i Przyjaciół Dzieci z Zespołem Downa Tęcza w Krakowie- Środowiskowy Dom Samopomocy ,os. Wandy 23  31-907 Kraków,www.stowarzyszenietecza.org,sds@stowarzyszenietecza.org  tel. 887 131 288,poniedziałek- piątek 8.00-16.00,,"działalność na rzecz osób niepełnosprawnych, działalność na rzecz organizacji pozarządowych oraz innych podmiotów prowadzących działalność pożytku publicznego",Całe Miasto Kraków,nie dotyczy,Organizacja pozarządowa,Nie stosujemy żadnych kryteriów,nie dotyczy,Mniej niż 10%,"Choroba, Niepełnosprawność",Kultura i rekreacja,"Pomoc rzeczowa, Pomoc żywnościowa",Mniej niż 10%,Trudno powiedzieć,nie dotyczy,"Wśród osób po 60 roku życia, Wśród osób z niepełnosprawnością, Wśród osób bezdomnych",Nie,Trudno powiedzieć,Dostępność do darmowych posiłków,Samych osób dotkniętych ubóstwem,Dzieło pomocy Ojca Pio
2022-06-27 12:04:18,owsikorskiego14@gmail.com,Ośrodek Wsparcia - Klub Samopomocy dla Osób Starszych,31-115 Kraków; Pl. Gen. Sikorskiego 14/2,https://sercanki.org.pl/home/dziela-zgromadzenia,12 421 52 17; owsikorskiego14@gmail.com,pn. - pt. godz. 10.00 - 16.00,nie ma,"pomoc społeczna, ochrona i promocja zdrowia, działalność na rzecz osób w wieku emerytalnym",Dzielnica/dzielnice miasta Krakowa,Śródmieście,"Kościół, organizacja kościelna",Nie stosujemy żadnych kryteriów,nie dotyczy,Od 10% do 20%,"Niepełnosprawność, Niezaradność życiowa","Nie zawsze wystarcza na leki,  oszczędzają na żywności ","Pomoc rzeczowa, Pomoc żywnościowa, Doradztwo psychologiczne, Usługi opiekuńcze, Wsparcie duchowe,  spędzanie wolnego czasu w przyjaznej atmosferze",Trudno powiedzieć,Trudno powiedzieć,nie dotyczy,"Wśród osób bezdomnych, Wśród uchodźców",Nie,Trudno powiedzieć,Pomoc w znalezieniu odpowiedniej pracy.,Samorządów terytorialnych,"Instytucje kościelne: Caritas, Kuchnia Brata Alberta itp."
2022-06-27 14:09:20,Marcin.Ogorek@dpshelclow.pl,Dom Pomocy Społecznej im. L. i A. Helclów w Krakowie,"ul. Helclów 2, 31-141 Kraków",www.dpshelclow.pl,"sekretariat@dpshelclow.pl, 12 634 42 55 wew. 222 ","poniedziałek-piątek, 7.30-15.30",,pomoc społeczna,"DPS przyjmuje wyłącznie osoby skierowane decyzją Prezydenta Miasta Krakowa, głównie są to osoby z Gminy Miejskiej Kraków,  ale kierowane mogą być również osoby spoza Gminy",nie dotyczy,Jednostka organizacyjna Miasta Krakowa,Nie stosujemy żadnych kryteriów,Nie dotyczy,Wysokość dochodu nie ma wpływu na możliwość uzyskania miejsca w DPS ani na zakres świadczonych usług,"Choroba, Niepełnosprawność",Zdrowie,"Pomoc rzeczowa, Pomoc żywnościowa, Schronienie, Praca socjalna, Doradztwo psychologiczne, Pomoc w załatwianiu spraw urzędowych, Usługi opiekuńcze, Wsparcie duchowe, Dom Pomocy Społecznej im. Ludwika i Anny Helclów w Krakowie zapewnia mieszkańcom usługi bytowe, opiekuńcze i wspomagające, w tym pomoc w uzyskaniu dostępu do usług zdrowotnych (DPS nie realizuje samodzielnie świadczeń zdrowotnych poza opieką pielęgniarską). Zakres i poziom tych usług uwzględnia w szczególności podmiotowość mieszkańców oraz poczucie bezpieczeństwa oraz stopień ich fizycznej i psychicznej sprawności.",Mniej niż 10%,Trudno powiedzieć,nie dotyczy,"Wśród osób po 60 roku życia, Wśród osób z niepełnosprawnością, Wśród osób bezdomnych",Tak,Nie spełniają kryteriów dochodowych uzyskania pomocy,"Zapewnienie preferencyjnych warunków w zakresie dostępu do mieszkania (preferencyjne kredyty, warunki najmu lub mieszkania komunalne)",Samych osób dotkniętych ubóstwem,Miejski Ośrodek Pomocy Społecznej w Krakowie
2022-06-27 16:16:55,maydaysto@gmail.com,Stowarzyszyszenie MAYDAY,"Ul. Nowosądecka 41, 30 - 683 Kraków",brak,"694 876 909. 608  793 791, maydaysto@gmail.com",poniedziałki i czwartki 16:30 - 18:30,,"pomoc społeczna, działalność charytatywna, działalność na rzecz osób niepełnosprawnych",Całe Miasto Kraków,Kraków Podgórze ,Organizacja pozarządowa,Poprzez kryterium dochodowe,"776 zł dla osoby samotnie gospodarującej, 600 zł dla osoby w rodzinie.",Co najmniej połowę,"Niepełnosprawność, Niezaradność życiowa","Użytkowanie mieszkania (czynsz, media, podatki)","Pomoc żywnościowa, Doradztwo prawne, Wsparcie duchowe",Co najmniej połowy,Trudno powiedzieć,nie dotyczy,"Nie, poziom ubóstwa wydaje się podobny w każdej grupie społecznej",Tak,"Nie wiedzą, gdzie można uzyskać pomoc",Trudno powiedzieć,Organizacji pozarządowych,
2022-06-27 16:25:26,pomoc@popierwszeczlowiek.pl,FUNDACJA PO PIERWSZE CZŁOWIEK,"WORONICZA 3B, 31-409 KRAKÓW",http://popierwszeczlowiek.pl/,"516 147 121, POMOC@POPIERWSZECZŁOWIEK.PL ",Osobiście: Jadłodajnia jest czynna od poniedziałku do soboty w godzinach 11.30-14.00. W szczególnych przypadkach spotkanie możliwe w innym terminie po wcześniejszym umówieniu. Telefonicznie od poniedziałku do piątku w godz. 9.30-16.00,"Fundacja zapewnia dostępność architektoniczną, cyfrową i informacyjno–komunikacyjną osobom ze szczególnymi potrzebami na poziomie minimalnych wymagań, określonych w art. 6–7 ustawy z dnia 19 lipca 2019 r. ","działalność na rzecz integracji i reintegracji zawodowej i społecznej osób zagrożonych wykluczeniem społecznym, działalność charytatywna, przeciwdziałanie uzależnieniom i patologiom społecznym","Fundacja prowdzi swoją działalność w jednym miejscu, jednak beneficjenci przyjeżdżają z całego miasta Krakowa a także spoza niego.",nie dotyczy,Organizacja pozarządowa,Odbiorcy naszych działań albo są kierowani przez MOPS (kryterium dochodowe) albo  sytuacja danej osoby jest przez poznawana indywidualnie. ,nie dotyczy,Co najmniej połowę,"Niezaradność życiowa, Uzależnienie (alkohol, narkotyki)","Największy procent odbiorców naszych działań to osoby w kryzysie bezdomności, które mają problem z zaspokojeniem podstawowych potrzeb życiowych: mieszkanie, żywność, zdrowie.","Pomoc rzeczowa, Pomoc żywnościowa, Praca socjalna, Opieka zdrowotna, Wsparcie duchowe, Dyżury lekarskie 2x w tygodniu",Trudno powiedzieć,Trudno powiedzieć,nie znamy odpowiedzi,"Wśród osób bezdomnych, Trudno powiedzieć",Nie,Nie znamy takich osób.,"Każda sytuacja jest inna, wymaga indywidualnego podejścia i podjęcia odpowiednich działań.",od współpracy instytucji pomocowych wraz z konkretną osobą.,
