Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,,,,Uwagi
Joanna Kasicka,40,1,A,,,
Joanna Kasicka,40,2,A,,,
Joanna Kasicka,40,3,B,Dwie córki niepełnoletnie,,
Joanna Kasicka,40,4B,B,,,
Joanna Kasicka,40,5B,C,500+ dodatki z UMK,,
Joanna Kasicka,40,6B,A2,,,
Joanna Kasicka,40,7B,B2,,,
Joanna Kasicka,40,8B,D,,,
Joanna Kasicka,40,9B,H,Mąż odszedł,,
Joanna Kasicka,40,10B,F,,,
Joanna Kasicka,40,11B,A,,,
Joanna Kasicka,40,12B,M,,,
Joanna Kasicka,40,13B,ACDI,,,
Joanna Kasicka,40,14B,,,Brak możliwości posłania córek na zajęcia pozalekcyjne czy z przyjaciółmi na pizze.,
Joanna Kasicka,40,15B,A,,,
Joanna Kasicka,40,16B,,,Nie mam z kim zostawić dzieci w godzinach potencjalnej pracy.,
Joanna Kasicka,40,17B,A,,Ocena pozytywna.,
Joanna Kasicka,40,17B,B,,Ocena pozytywna.,
Joanna Kasicka,40,17B,C,,Nie korzystałam.,
Joanna Kasicka,40,17B,D,,Nie korzystałam.,
Joanna Kasicka,40,17B,E,,Ocena pozytywna.,
Joanna Kasicka,40,17B,F,,Nie korzystałam.,
Joanna Kasicka,40,17B,G,,Ocena pozytywna.,
Joanna Kasicka,40,17B,H,,Nie korzystałam.,
Joanna Kasicka,40,17B,I,,Nie korzystałam.,
Joanna Kasicka,40,17B,J,,Nie korzystałam.,
Joanna Kasicka,40,17B,K,,Nie korzystałam.,
Joanna Kasicka,40,17B,L,,Nie korzystałam.,
Joanna Kasicka,40,17B,M,,,
Joanna Kasicka,40,18B,,,Znalezienie pracy w godzinach kiedy dzieci są w szkole.,
Joanna Kasicka,40,19A,A,,,
Joanna Kasicka,40,19B,A,,,
Joanna Kasicka,40,20B,C,,,
Joanna Kasicka,40,21B,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Joanna Kasicka,,,
