Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,13,1,B,,,
Agnieszka Małaszek,13,2,A,,,
Agnieszka Małaszek,13,3,B,,,
Agnieszka Małaszek,13,4B,B,,,
Agnieszka Małaszek,13,5B,B,,,
Agnieszka Małaszek,13,6B,2,,,
Agnieszka Małaszek,13,7B,A,,,
Agnieszka Małaszek,13,8B,B,,,
Agnieszka Małaszek,13,9B,I,,Sytuacja gospodarcza i spowodowana tym drożyzna. Niewystarczające dochody w stosunku do ponoszonych kosztów,
Agnieszka Małaszek,13,10B,C,,,
Agnieszka Małaszek,13,11B,C,,,
Agnieszka Małaszek,13,12B,C,,,
Agnieszka Małaszek,13,13B,"A,C,D,E,F,J",,,
Agnieszka Małaszek,13,14B,,,Na wszystkim trzeba oszczędzać,
Agnieszka Małaszek,13,15B,"A,C,E,F,G",,,
Agnieszka Małaszek,13,16B,,,"Ciągle ceny idą w górę, niewspółmiernie do dochodów",
Agnieszka Małaszek,13,17B,A,,Ocena pozytywna,
Agnieszka Małaszek,13,17B,B,,Nie korzyształam/łem,
Agnieszka Małaszek,13,17B,C,,Nie korzyształam/łem,
Agnieszka Małaszek,13,17B,D,,Nie korzyształam/łem,
Agnieszka Małaszek,13,17B,E,,Nie korzyształam/łem,
Agnieszka Małaszek,13,17B,F,,Nie korzyształam/łem,
Agnieszka Małaszek,13,17B,G,,Ocena pozytywna,
Agnieszka Małaszek,13,17B,H,,Nie korzyształam/łem,
Agnieszka Małaszek,13,17B,I,,Nie korzyształam/łem,
Agnieszka Małaszek,13,17B,J,,Ocena pozytywna,
Agnieszka Małaszek,13,17B,K,,Nie korzyształam/łem,
Agnieszka Małaszek,13,17B,L,,Nie korzyształam/łem,
Agnieszka Małaszek,13,18B,,,Lepsze dochody,
Agnieszka Małaszek,13,19B,G,,Nie znam takiej osoby,
Agnieszka Małaszek,13,19A,F,,,
Agnieszka Małaszek,13,20B,C,,,
Agnieszka Małaszek,13,21B,,,Muszą wiedzieć gdzie się udać po pomoc. Ulepszyć dostępność informacji na temat instytucji pomocowych.,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
